subject,trial,quality
P0,s7,bad
P11,s8,good
P2,s8,good
P22,s2,good
P22,s4,bad
P15,s7,good
P15,s6,good
P4,s6,bad
P20,s5,good
P14,s3,good
P20,s7,bad
P15,s8,good
P20,s4,good
P15,s2,bad
P0,s10,bad
P16,s7,good
P20,s8,good
P7,s5,good
P3,s6,good
P22,s9,bad
P11,s10,good
P5,s9,good
P0,s6,good
P22,s1,good
P10,s6,good
P1,s7,good
P22,s3,good
P20,s9,good
P12,s4,good
P7,s6,good
P22,s6,good
P4,s3,good
P20,s2,good
P21,s2,good
P7,s2,good
P5,s2,good
P2,s3,good
P1,s6,good
P21,s6,good
P16,s4,bad
P10,s3,bad
P10,s7,good
P14,s5,good
P16,s8,good
P21,s3,good
P16,s5,good
P1,s3,good
P12,s6,good
P2,s2,bad
P21,s4,good
P14,s9,bad
P14,s1,bad
P3,s1,good
P11,s6,good
P11,s4,good
P0,s3,good
P1,s2,good
P15,s4,good
P1,s1,bad
P5,s4,good
P21,s1,good
P21,s9,good
P5,s5,good
P3,s5,good
P4,s5,good
P12,s8,good
P0,s11,good
P15,s5,good
P11,s7,good
P14,s7,good
P22,s8,bad
P3,s7,good
P20,s3,bad
P2,s4,good
P5,s7,good
P11,s3,good
P12,s7,bad
P12,s2,good
P4,s4,good
P16,s3,bad
P11,s2,good
P4,s7,good
P0,s2,good
P4,s8,good
P21,s5,good
P12,s9,bad
P1,s4,bad
P3,s3,good
P15,s10,good
P14,s4,good
P21,s7,good
P0,s4,good
P5,s8,good
P7,s4,good
P15,s3,bad
P11,s9,good
P7,s1,good
P4,s1,bad
P22,s5,good
P7,s7,good
P0,s9,good
P12,s1,good
P7,s8,good
P5,s1,bad
P5,s6,good
P22,s7,bad
P14,s10,bad
P3,s4,good
P0,s5,good
P21,s8,good
P2,s9,good
P7,s3,good
P20,s6,bad
P12,s5,good
P14,s8,bad
P21,s4,good
P14,s6,bad
P10,s5,bad
P4,s2,good
P1,s5,good
P0,s8,good
P7,s9,good
P15,s9,good
